complaint_text,category,urgency
"Every time I reach out, I get a different answer. I need immediate assistance. It's very urgent.",Service Issue,low
This is urgent. There are scratches and dents all over the product. Please resolve this ASAP.,Product Damage,medium
This is urgent. The website isn’t responding when I click on certain links. Please resolve this ASAP. It's quite frustrating.,Technical Issue,medium
"This is urgent. Every time I open the application, it crashes unexpectedly. Please resolve this ASAP.",Technical Issue,low
Having trouble because i reset my password but still can’t access my account. kindly look into it soon.,Login Trouble,high
Customer service keeps transferring my call.,Customer Support,medium
Having trouble because the app closes automatically after i open it. i need immediate assistance. it's very urgent.,App Bug,medium
Having trouble because there are unauthorized activities showing up in my account. i need immediate assistance. it's very urgent.,Account Issue,medium
My account was suspended without any notification. I need immediate assistance. It's very urgent.,Account Issue,medium
Faced an issue: I'm facing constant glitches while navigating the dashboard. Kindly look into it soon.,Technical Issue,medium
This is urgent. I received a different color and size than what I ordered. Please resolve this ASAP.,Wrong Item,medium
Faced an issue: My account was suspended without any notification.,Account Issue,high
Faced an issue: The screen is cracked right out of the box. I need immediate assistance. It's very urgent.,Product Damage,high
Faced an issue: I had to wait for 40 minutes to talk to someone.,Service Issue,low
My profile details got changed without my knowledge. Kindly look into it soon.,Account Issue,medium
"Faced an issue: Instead of a phone, I got a pair of headphones. Kindly look into it soon.",Wrong Item,high
The packaging was torn and the contents were damaged. It's quite frustrating.,Product Damage,medium
The payment gateway shows an error every time I try to pay.,Payment Issue,medium
This is urgent. The delivery was promised within 3 days but it's been over a week. Please resolve this ASAP.,Delivery Delay,high
It seems like i waited the whole day but the delivery never happened.,Delivery Delay,medium
It seems like this is urgent. it looks like the product was previously used. please resolve this asap.,Product Damage,medium
It seems like i can’t access my account despite entering the correct password. i need immediate assistance. it's very urgent.,Account Issue,medium
Having trouble because the support team gave me incorrect information.,Service Issue,low
Having trouble because this is urgent. i keep getting logged out every few minutes. please resolve this asap.,Login Trouble,high
"This is urgent. Instead of a phone, I got a pair of headphones. Please resolve this ASAP.",Wrong Item,medium
"Faced an issue: Every time I open the app, it crashes unexpectedly. Kindly look into it soon.",Technical Issue,low
"Instead of a phone, I got a pair of headphones.",Wrong Item,low
Faced an issue: The box contained something completely unrelated. Kindly look into it soon.,Wrong Item,high
Faced an issue: My two-factor authentication code never arrives.,Login Trouble,medium
There are scratches and dents all over the product. I need immediate assistance. It's very urgent.,Product Damage,high
Faced an issue: This is urgent. There’s no tracking update for my order. Please resolve this ASAP.,Delivery Delay,low
Having trouble because push notifications are not working properly.,App Bug,low
